stroke_count,character,pinyin
1,一,yī
2,七,qī
2,丁,dīng
3,上,shàng
3,下,xià
3,三,sān
3,万,wàn
3,丈,zhàng
4,不,bù
3,与,yǔ
4,专,zhuān
4,丑,chǒu
4,丐,gài
4,丏,miǎn
5,业,yè
5,世,shì
5,东,dōng
5,且,qiě
5,丝,sī
5,丛,cóng
5,丘,qiū
5,丙,bǐng
5,丕,pī
6,亚,yà
6,丢,diū
6,夹,jiā
6,丞,chéng
7,两,liǎng
7,严,yán
3,个,gè
3,丫,yā
4,中,zhōng
4,书,shū
4,丰,fēng
7,串,chuàn
9,临,lín
3,丸,wán
4,为,wèi
4,丹,dān
5,主,zhǔ
7,丽,lì
9,举,jǔ
2,乃,nǎi
2,乂,yì
3,么,me
3,义,yì
3,久,jiǔ
3,乇,tuō
3,之,zhī
4,乌,wū
5,乎,hū
5,乐,lè
4,乏,fá
5,乍,zhà
6,乒,pīng
6,乓,pāng
8,乖,guāi
10,乘,chéng
1,乙,yǐ
2,九,jiǔ
2,乜,miē
11,乾,gān
3,也,yě
3,飞,fēi
3,卫,wèi
3,乞,qǐ
6,乩,jī
6,厾,dū
7,乱,luàn
8,乳,rǔ
2,了,le
4,予,yǔ
6,争,zhēng
8,事,shì
2,二,èr
3,于,yú
3,亏,kuī
3,亍,chù
4,五,wǔ
4,云,yún
4,互,hù
4,井,jǐng
4,亓,qí
6,亘,gèn
8,些,xiē
8,亟,jí
3,亡,wáng
12,亵,xiè
13,亶,dǎn
17,赢,yíng
22,亹,mén
4,亢,kàng
6,交,jiāo
6,亦,yì
6,亥,hài
7,亨,hēng
7,亩,mǔ
8,京,jīng
8,享,xiǎng
9,亮,liàng
9,亭,tíng
10,亳,bó
11,𠅤,xí
2,人,rén
3,亿,yì
12,储,chǔ
12,傅,fù
12,傍,bàng
12,傩,nuó
12,傣,dǎi
11,傀,guī
12,傥,tǎng
12,傈,lì
12,傧,bīn
12,傃,sù
12,傉,nù
12,傒,xī
12,傕,jué
12,傲,ào
13,傻,shǎ
13,催,cuī
13,傺,chì
13,僇,lù
13,像,xiàng
14,僧,sēng
14,僚,liáo
14,僭,jiàn
14,僮,tóng
14,僖,xī
14,僳,sù
14,僦,jiù
14,僬,jiāo
14,僰,bó
14,僔,zǔn
14,僎,zhuàn
15,僵,jiāng
15,僻,pì
14,儆,jǐng
15,儋,dān
15,儇,xuān
16,儒,rú
17,儡,lěi
17,儦,biāo
19,儳,chán
19,儴,ráng
4,从,cóng
4,什,shén
4,今,jīn
4,仅,jǐn
4,仍,réng
4,介,jiè
4,仁,rén
4,仇,chóu
4,仆,pū
4,仓,cāng
4,仑,lún
4,仄,zè
4,仃,dīng
4,仂,lè
4,仉,zhǎng
5,他,tā
5,们,men
4,以,yǐ
5,代,dài
5,令,lìng
5,付,fù
5,仙,xiān
5,仪,yí
5,仔,zǐ
5,仗,zhàng
5,仕,shì
5,仨,sā
5,仟,qiān
5,仞,rèn
5,仫,mù
5,仡,gē
5,仝,tóng
6,会,huì
6,任,rèn
6,件,jiàn
6,传,chuán
6,价,jià
6,企,qǐ
6,众,zhòng
6,伤,shāng
6,伊,yī
6,优,yōu
6,份,fèn
6,伦,lún
6,伙,huǒ
6,休,xiū
6,伟,wěi
6,仿,fǎng
6,仰,yǎng
6,伏,fú
6,伍,wǔ
6,伪,wěi
6,仲,zhòng
6,伐,fá
6,伞,sǎn
6,伎,jì
6,伢,yá
6,伫,zhù
6,伉,kàng
6,伧,cāng
6,伛,yǔ
6,仵,wǔ
6,氽,tǔn
6,仳,pǐ
5,伋,jí
6,伣,xiàn
6,伈,xǐn
7,你,nǐ
7,作,zuò
7,但,dàn
7,体,tǐ
7,位,wèi
7,何,hé
7,住,zhù
6,似,shì
7,低,dī
7,余,yú
7,佛,fú
7,伯,bó
